neo_alpha,neo_beta,modern_alpha,modern_beta,tech_alpha,tech_beta,brutal_alpha,brutal_beta,bio_alpha,bio_beta,park_alpha,park_beta
8.630915220330195e-07,6.486739980907401e-07,7.922379976290416e-07,6.214743780931856e-07,6.364958158524423e-07,7.002023446172446e-07,7.943174734877195e-07,8.894495276997155e-07,9.2346434587951e-07,7.531225783197411e-07,8.556000895132592e-07,8.089491244144508e-07
8.262285190573181e-07,3.1844040122495666e-07,8.262285190573181e-07,3.1844040122495666e-07,9.624422451483995e-07,3.2560939731504374e-07,8.157484619912296e-07,3.713302636252873e-07,9.61292391333301e-07,3.3292467578768935e-07,9.487091786012819e-07,3.03474527513434e-07
9.655116951265993e-07,2.2384022567937746e-07,7.887825901836408e-07,2.4180074199532496e-07,8.97852959097943e-07,2.772674554762334e-07,7.887825901836408e-07,2.4180074199532496e-07,8.24601483128789e-07,2.428347660314009e-07,9.63840902725604e-07,2.3234963057666942e-07
1.8680854069115281e-06,3.2239091530783083e-07,1.1931813871331163e-06,5.00275949285937e-07,1.3804289772157212e-06,3.24588216495455e-07,1.4418758795935325e-06,3.463370614068873e-07,1.7829929214482297e-06,2.956597790714464e-07,1.8680854069115281e-06,3.2239091530783083e-07
2.7362733550552862e-06,3.471500767708013e-07,1.9135860405055486e-06,2.722081590234535e-07,1.9906356796242993e-06,3.206971088948918e-07,1.4311563421128781e-06,4.163346153224838e-07,1.7999297015618236e-06,3.186449848979681e-07,1.6716225541485695e-06,3.174544492018322e-07
1.3407735051593278e-06,5.621916115694559e-07,3.751332578418709e-07,7.487081637557844e-07,9.79451450454548e-07,4.750324307194239e-07,1.0105229738634397e-06,5.100131250457927e-07,1.5626985435977776e-06,4.1746787976895205e-07,3.751332578418709e-07,7.487081637557844e-07
8.456435779834655e-07,1.081089845787709e-06,8.96129171387991e-07,1.150645834199742e-06,8.09514323104001e-07,5.705508074630752e-07,7.962757191260335e-07,7.932537443831854e-07,7.519751449353236e-07,5.583117243540387e-07,6.415745905158711e-07,9.943257375513285e-07
1.4322170102134196e-06,2.6625352890367386e-07,1.243014488736704e-06,2.875529438738845e-07,1.6902725517809834e-06,2.7143208926020227e-07,1.243014488736704e-06,2.875529438738845e-07,1.4328444037514153e-06,3.370558818418379e-07,1.4360663804778832e-06,2.351183015796043e-07
6.231905608822593e-07,2.8305524410330144e-07,8.012744992927546e-07,5.514326160165061e-07,4.777506817694907e-07,3.794318895708322e-07,6.59741964975303e-07,2.5830251503364245e-07,8.012744992927546e-07,5.514326160165061e-07,6.231905608822593e-07,2.8305524410330144e-07
9.760194457995967e-07,7.951887944658934e-07,9.126962200236381e-07,8.47251791985889e-07,8.543852665504384e-07,8.069122512323771e-07,9.805213430704257e-07,1.0300467627419984e-06,1.1809201143143779e-06,1.0778166802798377e-06,8.976902409266614e-07,9.961035975773954e-07
